,data size,granules number,relation type,ksi,accuracy
163,1000,200,g,0.6,0.735
164,1000,200,g,0.65,0.533
165,1000,200,g,0.7,0.313
166,1000,200,g,0.75,0.331
167,1000,200,g,0.8,0.765
168,1000,200,g,0.85,0.423
169,1000,200,g,0.9,0.537
170,1000,200,g,0.95,0.353
171,2000,50,t,0.05,1.0
172,2000,50,t,0.1,1.0
173,2000,50,t,0.15,1.0
174,2000,50,t,0.2,1.0
175,2000,50,t,0.25,1.0
176,2000,50,t,0.3,1.0
177,2000,50,t,0.35,0.687
178,2000,50,t,0.4,0.687
179,2000,50,t,0.45,0.809
180,2000,50,t,0.5,0.4765
181,2000,50,t,0.55,0.4765
182,2000,50,t,0.6,0.809
183,2000,50,t,0.65,0.687
184,2000,50,t,0.7,0.687
185,2000,50,t,0.75,0.687
186,2000,50,t,0.8,0.687
187,2000,50,t,0.85,0.5195
188,2000,50,t,0.9,0.687
189,2000,50,t,0.95,0.687
190,2000,50,e,0.05,1.0
191,2000,50,e,0.1,1.0
192,2000,50,e,0.15,1.0
193,2000,50,e,0.2,1.0
194,2000,50,e,0.25,1.0
195,2000,50,e,0.3,0.687
196,2000,50,e,0.35,0.809
197,2000,50,e,0.4,0.4765
198,2000,50,e,0.45,0.809
199,2000,50,e,0.5,0.687
200,2000,50,e,0.55,0.687
201,2000,50,e,0.6,0.687
202,2000,50,e,0.65,1.0
203,2000,50,e,0.7,0.6415
204,2000,50,e,0.75,0.809
205,2000,50,e,0.8,0.6675
206,2000,50,e,0.85,0.5195
207,2000,50,e,0.9,0.6385
208,2000,50,e,0.95,0.422
209,2000,50,g,0.05,0.687
210,2000,50,g,0.1,0.6415
211,2000,50,g,0.15,0.4765
212,2000,50,g,0.2,0.687
213,2000,50,g,0.25,0.5195
214,2000,50,g,0.3,0.687
215,2000,50,g,0.35,0.687
216,2000,50,g,0.4,0.813
217,2000,50,g,0.45,0.8325
218,2000,50,g,0.5,0.6415
219,2000,50,g,0.55,0.5195
220,2000,50,g,0.6,0.809
221,2000,50,g,0.65,0.687
222,2000,50,g,0.7,0.687
223,2000,50,g,0.75,0.6415
224,2000,50,g,0.8,0.4765
225,2000,50,g,0.85,0.5575
226,2000,50,g,0.9,0.704
227,2000,50,g,0.95,0.52
228,2000,100,t,0.05,1.0
229,2000,100,t,0.1,1.0
230,2000,100,t,0.15,1.0
231,2000,100,t,0.2,1.0
232,2000,100,t,0.25,1.0
233,2000,100,t,0.3,1.0
234,2000,100,t,0.35,1.0
235,2000,100,t,0.4,1.0
236,2000,100,t,0.45,1.0
237,2000,100,t,0.5,1.0
238,2000,100,t,0.55,1.0
239,2000,100,t,0.6,1.0
240,2000,100,t,0.65,1.0
241,2000,100,t,0.7,1.0
242,2000,100,t,0.75,1.0
243,2000,100,t,0.8,1.0
244,2000,100,t,0.85,0.704
245,2000,100,t,0.9,0.704
246,2000,100,t,0.95,0.767
247,2000,100,e,0.05,1.0
248,2000,100,e,0.1,1.0
249,2000,100,e,0.15,1.0
250,2000,100,e,0.2,1.0
251,2000,100,e,0.25,1.0
252,2000,100,e,0.3,1.0
253,2000,100,e,0.35,1.0
254,2000,100,e,0.4,1.0
255,2000,100,e,0.45,1.0
256,2000,100,e,0.5,1.0
257,2000,100,e,0.55,1.0
258,2000,100,e,0.6,0.704
259,2000,100,e,0.65,0.733
260,2000,100,e,0.7,1.0
261,2000,100,e,0.75,0.5475
262,2000,100,e,0.8,0.7735
263,2000,100,e,0.85,0.685
264,2000,100,e,0.9,0.736
265,2000,100,e,0.95,0.5575
266,2000,100,g,0.05,1.0
267,2000,100,g,0.1,1.0
268,2000,100,g,0.15,0.704
269,2000,100,g,0.2,1.0
270,2000,100,g,0.25,1.0
271,2000,100,g,0.3,0.704
272,2000,100,g,0.35,0.704
273,2000,100,g,0.4,0.733
274,2000,100,g,0.45,0.733
275,2000,100,g,0.5,0.767
276,2000,100,g,0.55,0.733
277,2000,100,g,0.6,0.704
278,2000,100,g,0.65,0.7735
279,2000,100,g,0.7,0.7735
280,2000,100,g,0.75,0.6095
281,2000,100,g,0.8,1.0
282,2000,100,g,0.85,0.387
283,2000,100,g,0.9,0.301
284,2000,100,g,0.95,0.514
285,2000,200,t,0.05,1.0
286,2000,200,t,0.1,1.0
287,2000,200,t,0.15,1.0
288,2000,200,t,0.2,1.0
289,2000,200,t,0.25,1.0
290,2000,200,t,0.3,1.0
291,2000,200,t,0.35,0.7155
292,2000,200,t,0.4,1.0
293,2000,200,t,0.45,1.0
294,2000,200,t,0.5,1.0
295,2000,200,t,0.55,1.0
296,2000,200,t,0.6,1.0
297,2000,200,t,0.65,1.0
298,2000,200,t,0.7,0.7155
299,2000,200,t,0.75,0.7155
300,2000,200,t,0.8,0.759
301,2000,200,t,0.85,1.0
302,2000,200,t,0.9,1.0
303,2000,200,t,0.95,1.0
304,2000,200,e,0.05,1.0
305,2000,200,e,0.1,1.0
306,2000,200,e,0.15,1.0
307,2000,200,e,0.2,1.0
308,2000,200,e,0.25,1.0
309,2000,200,e,0.3,0.7155
310,2000,200,e,0.35,1.0
311,2000,200,e,0.4,1.0
312,2000,200,e,0.45,1.0
313,2000,200,e,0.5,0.7155
314,2000,200,e,0.55,0.759
315,2000,200,e,0.6,1.0
316,2000,200,e,0.65,0.759
317,2000,200,e,0.7,0.7845
318,2000,200,e,0.75,1.0
319,2000,200,e,0.8,0.7155
320,2000,200,e,0.85,1.0
321,2000,200,e,0.9,0.544
322,2000,200,e,0.95,0.56
323,2000,200,g,0.05,0.759
324,2000,200,g,0.1,1.0
325,2000,200,g,0.15,1.0
326,2000,200,g,0.2,1.0
327,2000,200,g,0.25,0.759
328,2000,200,g,0.3,1.0
329,2000,200,g,0.35,1.0
330,2000,200,g,0.4,0.759
331,2000,200,g,0.45,1.0
332,2000,200,g,0.5,0.7155
333,2000,200,g,0.55,0.741
334,2000,200,g,0.6,0.7155
335,2000,200,g,0.65,0.4675
336,2000,200,g,0.7,0.507
337,2000,200,g,0.75,0.431
338,2000,200,g,0.8,0.7155
339,2000,200,g,0.85,0.5505
340,2000,200,g,0.9,0.38
341,2000,200,g,0.95,0.7225
342,5000,50,t,0.05,1.0
343,5000,50,t,0.1,1.0
344,5000,50,t,0.15,0.6766
345,5000,50,t,0.2,0.6766
346,5000,50,t,0.25,0.6766
347,5000,50,t,0.3,0.6766
348,5000,50,t,0.35,0.6766
349,5000,50,t,0.4,0.6766
350,5000,50,t,0.45,0.6766
351,5000,50,t,0.5,0.6766
352,5000,50,t,0.55,0.6766
353,5000,50,t,0.6,0.6766
354,5000,50,t,0.65,0.6766
355,5000,50,t,0.7,0.6766
356,5000,50,t,0.75,0.6766
357,5000,50,t,0.8,0.6766
358,5000,50,t,0.85,0.6766
359,5000,50,t,0.9,0.7116
360,5000,50,t,0.95,0.6766
361,5000,50,e,0.05,1.0
362,5000,50,e,0.1,1.0
363,5000,50,e,0.15,0.6766
364,5000,50,e,0.2,0.6766
365,5000,50,e,0.25,0.6766
366,5000,50,e,0.3,0.6766
367,5000,50,e,0.35,0.6766
368,5000,50,e,0.4,0.6766
369,5000,50,e,0.45,0.6766
370,5000,50,e,0.5,0.6766
371,5000,50,e,0.55,0.6766
372,5000,50,e,0.6,0.7116
373,5000,50,e,0.65,0.5254
374,5000,50,e,0.7,0.7152
375,5000,50,e,0.75,0.489
376,5000,50,e,0.8,0.3472
377,5000,50,e,0.85,0.3952
378,5000,50,e,0.9,0.6214
379,5000,50,e,0.95,0.3152
380,5000,50,g,0.05,0.6766
381,5000,50,g,0.1,0.6766
382,5000,50,g,0.15,0.6766
383,5000,50,g,0.2,0.6766
384,5000,50,g,0.25,0.6766
385,5000,50,g,0.3,0.6766
386,5000,50,g,0.35,0.7116
387,5000,50,g,0.4,0.8038
388,5000,50,g,0.45,1.0
389,5000,50,g,0.5,0.7152
390,5000,50,g,0.55,0.7152
391,5000,50,g,0.6,0.489
392,5000,50,g,0.65,0.3472
393,5000,50,g,0.7,0.3472
394,5000,50,g,0.75,0.3472
395,5000,50,g,0.8,0.3714
396,5000,50,g,0.85,0.5972
397,5000,50,g,0.9,0.8234
398,5000,50,g,0.95,0.3636
399,5000,100,t,0.05,1.0
400,5000,100,t,0.1,1.0
401,5000,100,t,0.15,1.0
402,5000,100,t,0.2,1.0
403,5000,100,t,0.25,1.0
404,5000,100,t,0.3,0.7094
405,5000,100,t,0.35,0.7094
406,5000,100,t,0.4,0.7094
407,5000,100,t,0.45,0.7094
408,5000,100,t,0.5,0.7094
409,5000,100,t,0.55,0.7094
410,5000,100,t,0.6,1.0
411,5000,100,t,0.65,1.0
412,5000,100,t,0.7,1.0
413,5000,100,t,0.75,1.0
414,5000,100,t,0.8,0.7094
415,5000,100,t,0.85,1.0
416,5000,100,t,0.9,0.7094
417,5000,100,t,0.95,0.7094
418,5000,100,e,0.05,1.0
419,5000,100,e,0.1,1.0
420,5000,100,e,0.15,1.0
421,5000,100,e,0.2,1.0
422,5000,100,e,0.25,0.7094
423,5000,100,e,0.3,0.7094
424,5000,100,e,0.35,0.7094
425,5000,100,e,0.4,0.7094
426,5000,100,e,0.45,1.0
427,5000,100,e,0.5,1.0
428,5000,100,e,0.55,0.7094
429,5000,100,e,0.6,0.7094
430,5000,100,e,0.65,1.0
431,5000,100,e,0.7,0.81
432,5000,100,e,0.75,0.6182
433,5000,100,e,0.8,0.573
434,5000,100,e,0.85,0.8274
435,5000,100,e,0.9,0.3382
436,5000,100,e,0.95,0.4306
437,5000,100,g,0.05,0.7094
438,5000,100,g,0.1,0.7094
439,5000,100,g,0.15,1.0
440,5000,100,g,0.2,1.0
441,5000,100,g,0.25,1.0
442,5000,100,g,0.3,1.0
443,5000,100,g,0.35,0.7094
444,5000,100,g,0.4,0.7738
445,5000,100,g,0.45,0.7906
446,5000,100,g,0.5,1.0
447,5000,100,g,0.55,0.3986
448,5000,100,g,0.6,0.6182
449,5000,100,g,0.65,0.6182
450,5000,100,g,0.7,0.3682
451,5000,100,g,0.75,0.5362
452,5000,100,g,0.8,0.7286
453,5000,100,g,0.85,0.6726
454,5000,100,g,0.9,0.66
455,5000,100,g,0.95,0.7094
456,5000,200,t,0.05,1.0
457,5000,200,t,0.1,1.0
458,5000,200,t,0.15,1.0
459,5000,200,t,0.2,1.0
460,5000,200,t,0.25,1.0
461,5000,200,t,0.3,1.0
462,5000,200,t,0.35,1.0
463,5000,200,t,0.4,1.0
464,5000,200,t,0.45,1.0
465,5000,200,t,0.5,1.0
