,data size,granules number,relation type,ksi,accuracy
187,2000,50,t,0.85,0.5165
188,2000,50,t,0.9,0.883
189,2000,50,t,0.95,0.583
190,2000,50,e,0.05,0.583
191,2000,50,e,0.1,0.583
192,2000,50,e,0.15,0.583
193,2000,50,e,0.2,0.583
194,2000,50,e,0.25,0.583
195,2000,50,e,0.3,0.583
196,2000,50,e,0.35,0.583
197,2000,50,e,0.4,0.583
198,2000,50,e,0.45,0.583
199,2000,50,e,0.5,0.583
200,2000,50,e,0.55,0.583
201,2000,50,e,0.6,0.4235
202,2000,50,e,0.65,0.583
203,2000,50,e,0.7,0.6535
204,2000,50,e,0.75,0.6535
205,2000,50,e,0.8,0.6535
206,2000,50,e,0.85,0.6535
207,2000,50,e,0.9,0.6535
208,2000,50,e,0.95,0.6535
209,2000,50,g,0.05,0.583
210,2000,50,g,0.1,0.583
211,2000,50,g,0.15,0.583
212,2000,50,g,0.2,0.583
213,2000,50,g,0.25,0.583
214,2000,50,g,0.3,0.5165
215,2000,50,g,0.35,0.583
216,2000,50,g,0.4,0.583
217,2000,50,g,0.45,0.5545
218,2000,50,g,0.5,0.6535
219,2000,50,g,0.55,0.6535
220,2000,50,g,0.6,0.6535
221,2000,50,g,0.65,0.6535
222,2000,50,g,0.7,0.6535
223,2000,50,g,0.75,0.583
224,2000,50,g,0.8,0.6535
225,2000,50,g,0.85,0.6535
226,2000,50,g,0.9,0.6535
227,2000,50,g,0.95,0.6535
228,2000,100,t,0.05,1.0
229,2000,100,t,0.1,1.0
230,2000,100,t,0.15,1.0
231,2000,100,t,0.2,1.0
232,2000,100,t,0.25,1.0
233,2000,100,t,0.3,1.0
234,2000,100,t,0.35,1.0
235,2000,100,t,0.4,1.0
236,2000,100,t,0.45,0.656
237,2000,100,t,0.5,0.656
238,2000,100,t,0.55,0.656
239,2000,100,t,0.6,1.0
240,2000,100,t,0.65,0.656
241,2000,100,t,0.7,0.656
242,2000,100,t,0.75,0.656
243,2000,100,t,0.8,1.0
244,2000,100,t,0.85,0.656
245,2000,100,t,0.9,1.0
246,2000,100,t,0.95,1.0
247,2000,100,e,0.05,1.0
248,2000,100,e,0.1,1.0
249,2000,100,e,0.15,1.0
250,2000,100,e,0.2,1.0
251,2000,100,e,0.25,1.0
252,2000,100,e,0.3,1.0
253,2000,100,e,0.35,0.656
254,2000,100,e,0.4,0.656
255,2000,100,e,0.45,1.0
256,2000,100,e,0.5,0.656
257,2000,100,e,0.55,1.0
258,2000,100,e,0.6,1.0
259,2000,100,e,0.65,1.0
260,2000,100,e,0.7,1.0
261,2000,100,e,0.75,0.4715
262,2000,100,e,0.8,1.0
263,2000,100,e,0.85,1.0
264,2000,100,e,0.9,0.4715
265,2000,100,e,0.95,1.0
266,2000,100,g,0.05,1.0
267,2000,100,g,0.1,0.656
268,2000,100,g,0.15,1.0
269,2000,100,g,0.2,0.656
270,2000,100,g,0.25,0.656
271,2000,100,g,0.3,1.0
272,2000,100,g,0.35,1.0
273,2000,100,g,0.4,1.0
274,2000,100,g,0.45,1.0
275,2000,100,g,0.5,1.0
276,2000,100,g,0.55,1.0
277,2000,100,g,0.6,1.0
278,2000,100,g,0.65,0.4715
279,2000,100,g,0.7,1.0
280,2000,100,g,0.75,1.0
281,2000,100,g,0.8,1.0
282,2000,100,g,0.85,1.0
283,2000,100,g,0.9,0.4715
284,2000,100,g,0.95,0.616
285,2000,200,t,0.05,1.0
