,data size,granules number,relation type,ksi,accuracy
163,1000,200,g,0.6,0.428
164,1000,200,g,0.65,0.542
165,1000,200,g,0.7,0.537
166,1000,200,g,0.75,0.514
167,1000,200,g,0.8,0.357
168,1000,200,g,0.85,0.537
169,1000,200,g,0.9,0.446
170,1000,200,g,0.95,0.566
171,2000,50,t,0.05,0.5025
172,2000,50,t,0.1,0.5025
173,2000,50,t,0.15,0.5025
174,2000,50,t,0.2,0.5025
175,2000,50,t,0.25,0.4295
176,2000,50,t,0.3,0.53
177,2000,50,t,0.35,0.4375
178,2000,50,t,0.4,0.4375
179,2000,50,t,0.45,0.468
180,2000,50,t,0.5,0.451
181,2000,50,t,0.55,0.5025
182,2000,50,t,0.6,0.511
183,2000,50,t,0.65,0.6155
184,2000,50,t,0.7,0.6155
185,2000,50,t,0.75,0.6155
186,2000,50,t,0.8,0.525
187,2000,50,t,0.85,0.451
188,2000,50,t,0.9,0.451
189,2000,50,t,0.95,0.451
190,2000,50,e,0.05,0.5025
191,2000,50,e,0.1,0.5025
192,2000,50,e,0.15,0.5025
193,2000,50,e,0.2,0.5025
194,2000,50,e,0.25,0.53
195,2000,50,e,0.3,0.4375
196,2000,50,e,0.35,0.528
197,2000,50,e,0.4,0.451
198,2000,50,e,0.45,0.511
199,2000,50,e,0.5,0.6155
200,2000,50,e,0.55,0.525
201,2000,50,e,0.6,0.451
202,2000,50,e,0.65,0.4185
203,2000,50,e,0.7,0.525
204,2000,50,e,0.75,0.497
205,2000,50,e,0.8,0.522
206,2000,50,e,0.85,0.593
207,2000,50,e,0.9,0.55
208,2000,50,e,0.95,0.445
209,2000,50,g,0.05,0.502
210,2000,50,g,0.1,0.525
211,2000,50,g,0.15,0.511
212,2000,50,g,0.2,0.6155
213,2000,50,g,0.25,0.6155
214,2000,50,g,0.3,0.451
215,2000,50,g,0.35,0.451
216,2000,50,g,0.4,0.4185
217,2000,50,g,0.45,0.598
218,2000,50,g,0.5,0.525
219,2000,50,g,0.55,0.551
