,strict,50 granules,100 granules,200 granules
0,256.1533451080322,79.31399345397949,166.92733764648438,527.5545120239258
1,1092.4012064933777,131.34121894836426,300.98533630371094,944.4658756256104
2,2725.914776325226,189.24903869628906,564.1419887542725,1269.1867351531982
3,7125.2481341362,280.4567813873291,664.6637916564941,1546.4513301849365
4,14676.581501960754,331.9716453552246,821.3634490966797,1848.8667011260986
5,24289.286851882935,474.25389289855957,1000.0746250152588,2197.3633766174316
6,36747.481882572174,554.5504093170166,1122.4372386932373,2546.5564727783203
7,52439.317882061005,629.6224594116211,1310.4822635650635,2901.8502235412598
8,71895.07967233658,696.2275505065918,1460.0579738616943,3233.0095767974854
9,95497.86937236786,778.0616283416748,1590.6178951263428,3540.346622467041
