,data size,granules number,relation type,ksi,accuracy
186,2000,50,t,0.8,0.9795
187,2000,50,t,0.85,0.9795
188,2000,50,t,0.9,0.9795
189,2000,50,t,0.95,0.9795
190,2000,50,e,0.05,0.9795
191,2000,50,e,0.1,0.9795
192,2000,50,e,0.15,0.9795
193,2000,50,e,0.2,0.9795
194,2000,50,e,0.25,0.9795
195,2000,50,e,0.3,0.9795
196,2000,50,e,0.35,0.9795
197,2000,50,e,0.4,0.9795
198,2000,50,e,0.45,0.9795
199,2000,50,e,0.5,0.9795
200,2000,50,e,0.55,0.9795
201,2000,50,e,0.6,0.9795
202,2000,50,e,0.65,0.9795
203,2000,50,e,0.7,0.9795
204,2000,50,e,0.75,0.9795
205,2000,50,e,0.8,0.9795
206,2000,50,e,0.85,0.9795
207,2000,50,e,0.9,0.9795
208,2000,50,e,0.95,0.9795
209,2000,50,g,0.05,0.9795
210,2000,50,g,0.1,0.9795
211,2000,50,g,0.15,0.9795
212,2000,50,g,0.2,0.9795
213,2000,50,g,0.25,0.9795
214,2000,50,g,0.3,0.9795
215,2000,50,g,0.35,0.9795
216,2000,50,g,0.4,0.9795
217,2000,50,g,0.45,0.9795
218,2000,50,g,0.5,0.9795
219,2000,50,g,0.55,0.9795
220,2000,50,g,0.6,0.9795
221,2000,50,g,0.65,0.9795
222,2000,50,g,0.7,0.9795
223,2000,50,g,0.75,0.9795
224,2000,50,g,0.8,0.9795
225,2000,50,g,0.85,0.9795
226,2000,50,g,0.9,0.9795
227,2000,50,g,0.95,0.9795
228,2000,100,t,0.05,0.9605
229,2000,100,t,0.1,0.9605
230,2000,100,t,0.15,0.9605
231,2000,100,t,0.2,0.9605
232,2000,100,t,0.25,0.9605
233,2000,100,t,0.3,0.9605
234,2000,100,t,0.35,0.9605
235,2000,100,t,0.4,0.9605
236,2000,100,t,0.45,0.9605
237,2000,100,t,0.5,0.9605
238,2000,100,t,0.55,0.9845
239,2000,100,t,0.6,0.9615
240,2000,100,t,0.65,0.9605
241,2000,100,t,0.7,0.961
242,2000,100,t,0.75,0.9605
243,2000,100,t,0.8,0.9515
244,2000,100,t,0.85,0.961
245,2000,100,t,0.9,0.9605
246,2000,100,t,0.95,0.961
247,2000,100,e,0.05,0.9605
248,2000,100,e,0.1,0.9605
249,2000,100,e,0.15,0.9605
250,2000,100,e,0.2,0.9605
251,2000,100,e,0.25,0.9605
252,2000,100,e,0.3,0.9605
253,2000,100,e,0.35,0.9605
254,2000,100,e,0.4,0.9845
255,2000,100,e,0.45,0.9605
256,2000,100,e,0.5,0.961
257,2000,100,e,0.55,0.9515
258,2000,100,e,0.6,0.968
259,2000,100,e,0.65,0.961
260,2000,100,e,0.7,0.961
261,2000,100,e,0.75,0.9355
262,2000,100,e,0.8,0.961
263,2000,100,e,0.85,0.9615
264,2000,100,e,0.9,0.961
265,2000,100,e,0.95,0.9595
266,2000,100,g,0.05,0.9605
267,2000,100,g,0.1,0.9605
268,2000,100,g,0.15,0.9845
269,2000,100,g,0.2,0.9605
270,2000,100,g,0.25,0.9605
271,2000,100,g,0.3,0.961
272,2000,100,g,0.35,0.961
273,2000,100,g,0.4,0.961
274,2000,100,g,0.45,0.9605
275,2000,100,g,0.5,0.9635
276,2000,100,g,0.55,0.965
277,2000,100,g,0.6,0.968
278,2000,100,g,0.65,0.968
279,2000,100,g,0.7,0.961
280,2000,100,g,0.75,0.9585
281,2000,100,g,0.8,0.961
282,2000,100,g,0.85,0.968
283,2000,100,g,0.9,0.9555
284,2000,100,g,0.95,0.9555
285,2000,200,t,0.05,0.976
286,2000,200,t,0.1,0.9755
287,2000,200,t,0.15,0.976
288,2000,200,t,0.2,0.9755
289,2000,200,t,0.25,0.9755
290,2000,200,t,0.3,0.9725
291,2000,200,t,0.35,0.9755
292,2000,200,t,0.4,0.978
293,2000,200,t,0.45,0.978
294,2000,200,t,0.5,0.9755
295,2000,200,t,0.55,0.9755
296,2000,200,t,0.6,0.9615
297,2000,200,t,0.65,0.951
298,2000,200,t,0.7,0.951
299,2000,200,t,0.75,0.9615
300,2000,200,t,0.8,0.951
301,2000,200,t,0.85,0.95
302,2000,200,t,0.9,0.95
303,2000,200,t,0.95,0.95
304,2000,200,e,0.05,0.976
305,2000,200,e,0.1,0.9755
306,2000,200,e,0.15,0.976
307,2000,200,e,0.2,0.9755
